community_name,region_name,town_name,detail_address,subway_name,subway_station,subway_distance,completion_date_year,location_with_center
道家园小区,朝阳,甜水园,甜水园东街7号,14号线(东),金台路,721,1990年,三四环之间
金台里,朝阳,红庙,金台路,6号线,金台路,811,1991年,三四环之间
US联邦公寓,朝阳,燕莎,东方东路1号,10号线,亮马桥,665,2006年,三四环之间
艺水芳园,朝阳,双桥,北花园街1号,八通线,传媒大学,840,2005年,五六环之间
芳园里社区(南区),朝阳,酒仙桥,将台路,14号线(东),将台,357,2015年,四五环之间
嘉里星源汇,朝阳,三元桥,新源路,10号线,亮马桥,647,2009年,二三环之间
通用时代国际公寓,朝阳,国贸,永安东里甲3号,1号线,永安里,412,2002年,二三环之间
万达大湖公馆,朝阳,奥林匹克公园,清林东路2号,5号线,立水桥南,896,2008年,五六环之间
倚林佳园,朝阳,奥林匹克公园,林萃路,8号线,林萃桥,804,2002年,四五环之间
安华里社区(四区),朝阳,安贞,安定门外大街,5号线,和平西桥,1089,1986年,二三环之间
观音惠园,朝阳,四惠,高碑店路,7号线,化工,1519,2006年,四五环之间
西坝河中里,朝阳,西坝河,七圣南路,13号线,光熙门,906,1990年,二三环之间
华严北里小区,朝阳,健翔桥,民族园西路157号,8号线,奥体中心,782,1993年,三四环之间
甘露园南里一社区(甘露园南里一区),朝阳,甘露园,朝阳路,1号线,四惠东,754,2015年,四五环之间
朝丰家园(8号院),朝阳,豆各庄,天达路8号,7号线,焦化厂,2340,2007年,五六环之间
CBD高尔夫球会别墅,朝阳,高碑店,高碑店路,7号线,双合,1319,2006年,四五环之间
西坝河北里,朝阳,西坝河,太阳宫南街,10号线,太阳宫,710,1988年,三四环之间
松榆里社区,朝阳,潘家园,松榆北路,14号线(东),北工大西门,653,2015年,三四环之间
和平街(十一区),朝阳,和平街,和平里东街,5号线,和平西桥,135,1985年,二三环之间
东润枫景(北区),朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,867,2000年,四五环之间
农光东里,朝阳,劲松,南磨房路,10号线,劲松,734,1983年,三四环之间
乐成公馆,朝阳,双井,百子湾南二路74号,14号线(东),九龙山,352,2007年,三四环之间
北京青年城,朝阳,北苑,北苑东路,13号线,北苑,1441,2015年,五六环之间
鸿坤花语墅,朝阳,华威桥,西大望路42号,14号线(东),北工大西门,770,2011年,三四环之间
卓锦万代,朝阳,来广营,新锦路18号,15号线,孙河,2249,2006年,五六环之间
曙光里,朝阳,西坝河,曙光西路,机场线,三元桥,669,2015年,三四环之间
蓝色家园,朝阳,望京,广顺南大街21号,14号线(东),望京南,159,2000年,四五环之间
筑华年,朝阳,北苑,双营路2号,13号线,北苑,957,2010年,五六环之间
金隅丽景园,朝阳,常营,朝阳北路,6号线,草房,325,2010年,五六环之间
安华里社区(一区),朝阳,安贞,安定门外大街,8号线,安华桥,772,1988年,二三环之间
怡景园,朝阳,朝外大街,朝外大街,2号线,朝阳门,746,2002年,二三环之间
澳景花庭,朝阳,奥林匹克公园,花虎沟8号,8号线,林萃桥,913,2003年,四五环之间
霞光里小区,朝阳,三元桥,霄云路,10号线,三元桥,468,2004年,三四环之间
北京城建福润四季A区,朝阳,东坝,管庄路,10号线,三元桥,468,2014年,五六环之间
花家地南里,朝阳,花家地,阜通东大街,14号线(东),望京南,1119,1999年,四五环之间
润泽公馆,朝阳,北苑,水岸南街,13号线,北苑,1207,2015年,五六环之间
建东苑(西区),朝阳,管庄,朝阳路,八通线,双桥,824,2003年,五六环之间
美华世纪大厦,朝阳,建外大街,建华南路15号,1号线,永安里,721,2004年,二三环之间
加利大厦,朝阳,亚运村,北苑路180号,5号线,惠新西街北口,387,2005年,四五环之间
卡布其诺,朝阳,酒仙桥,将台路,14号线(东),将台,1411,2005年,四五环之间
和乔丽晶,朝阳,酒仙桥,芳园西路,14号线(东),将台,718,2000年,四五环之间
花家地西里(一区),朝阳,花家地,望京西路,14号线(东),阜通,982,1986年,四五环之间
山水文园西园,朝阳,华威桥,"弘燕路,近西燕街",14号线(东),十里河,550,2002年,三四环之间
亚运花园,朝阳,亚运村小营,小营北路,15号线,关庄,903,1996年,四五环之间
双桥温泉东里小区(南区),朝阳,管庄,双桥东路,八通线,八里桥,2249,2008年,五六环之间
泰禾北京院子,朝阳,孙河,顺黄路,15号线,孙河,1308,2015年,五六环之间
山水LAVIE,朝阳,北苑,红军营东路,13号线,北苑,492,2004年,五六环之间
南湖渠西里,朝阳,望京,望京西路,15号线,望京西,473,1988年,四五环之间
劲松北社区一区西小院(劲松一区),朝阳,劲松,劲松路,10号线,劲松,242,1977年,二三环之间
劲松东社区(劲松三区),朝阳,劲松,劲松路,10号线,劲松,321,1980年,二三环之间
天和人家,朝阳,南沙滩,军民团结路,15号线,北沙滩,529,2000年,四五环之间
望京明苑,朝阳,望京,广顺北大街36号,15号线,望京,618,2001年,四五环之间
安贞西里小区(安贞西里四区),朝阳,安贞,安贞路,8号线,安华桥,548,1988年,三四环之间
华馨公寓,朝阳,亚运村,朝阳区慧忠北里409号,15号线,安立路,551,1999年,四五环之间
港湾国际,朝阳,三里屯,东直门外大街28号,机场线,东直门,949,2004年,二三环之间
宝星华庭,朝阳,望京,阜通西大街,15号线,望京东,675,2008年,四五环之间
世纪宝鼎公寓,朝阳,亚运村小营,鼎城路,13号线,望京西,898,1998年,四五环之间
金隅丽港城,朝阳,望京,南湖南路,14号线(东),阜通,776,2000年,四五环之间
双惠苑,朝阳,双桥,双桥路,八通线,双桥,521,2002年,五六环之间
安华里社区(五区),朝阳,安贞,安华路,8号线,安华桥,982,1982年,二三环之间
润泽庄园,朝阳,来广营,水岸南街,13号线,北苑,1461,2008年,五六环之间
时间国际中心,朝阳,三元桥,曙光西里甲6号,机场线,三元桥,647,2005年,三四环之间
长安6号小区,朝阳,建外大街,建华南路,1号线,永安里,791,2010年,二三环之间
朝阳雅筑,朝阳,朝青板块,黄衫木店路,6号线,青年路,507,2001年,四五环之间
龙湖双珑原著,朝阳,孙河,景达路1号,15号线,孙河,1558,2015年,五六环之间
南湖中园一区(东区),朝阳,望京,南湖北街,15号线,望京,866,2015年,四五环之间
上东三角洲,朝阳,酒仙桥,驼房营路,14号线(东),将台,1457,2004年,四五环之间
十里堡北里,朝阳,十里堡,朝阳北路,6号线,十里堡,371,1995年,四五环之间
芳林苑,朝阳,潘家园,紫芳路5号,14号线(东),方庄,434,2000年,二三环之间
育慧西里,朝阳,亚运村小营,小营路,15号线,大屯路东,825,1995年,四五环之间
天翠园,朝阳,媒体村,北苑路,5号线,立水桥南,622,2015年,五六环之间
泰福苑(三区),朝阳,定福庄,朝阳北路,6号线,黄渠,523,2004年,五六环之间
安慧北里安园,朝阳,亚运村,大屯路,15号线,安立路,382,1993年,四五环之间
常楹公元,朝阳,常营,朝阳北路,6号线,常营,679,2013年,五六环之间
枣营北里,朝阳,朝阳公园,东三环农展馆路,14号线(东),枣营,433,2015年,三四环之间
锦绣馨园,朝阳,亚运村小营,小营北路,15号线,大屯路东,664,1999年,四五环之间
丰和园,朝阳,太阳宫,太阳宫南街15号,10号线,太阳宫,222,2009年,三四环之间
电子城小区,朝阳,酒仙桥,驼房营南路,14号线(东),将台,1259,2001年,四五环之间
和平街(十二区),朝阳,和平街,和平街,13号线,光熙门,450,1982年,二三环之间
灵通观,朝阳,建外大街,永安里中街,1号线,永安里,488,1993年,二三环之间
御景园,朝阳,潘家园,首图东路,14号线(东),十里河,429,2001年,三四环之间
泛海国际兰海园,朝阳,朝阳公园,辛庄一街28号,6号线,十里堡,1822,2009年,四五环之间
花家地北里,朝阳,花家地,花家地街,14号线(东),阜通,866,1998年,四五环之间
白家庄东里,朝阳,团结湖,姚家园路,10号线,团结湖,502,2015年,三四环之间
劲松北社区二区西小院(劲松二区),朝阳,劲松,劲松路,10号线,劲松,638,1977年,二三环之间
罗马花园,朝阳,惠新西街,惠新西街18号,5号线,惠新西街北口,450,1995年,三四环之间
盛和家园,朝阳,亚运村小营,安慧东里2号,5号线,惠新西街北口,663,2002年,四五环之间
东恒时代(二期),朝阳,八里庄,八里庄东里甲2号,1号线,四惠,490,2002年,四五环之间
十里堡东里,朝阳,十里堡,朝阳路,6号线,十里堡,755,1984年,四五环之间
北平里,朝阳,首都机场,机场南路,机场线,T3航,楼站1858,1998年,五六环之间
华亭嘉园,朝阳,健翔桥,北四环中路6号,8号线,奥体中心,763,2000年,三四环之间
望花路西里社区,朝阳,花家地,望花路,14号线(东),阜通,297,1981年,四五环之间
华严里,朝阳,健翔桥,华严北里甲1号,10号线,健德门,423,1996年,三四环之间
东大桥路小区,朝阳,东大桥,东大桥路,1号线,永安里,390,2015年,二三环之间
CBD总部公寓(三期),朝阳,双井,光华北一街,7号线,广渠门外,597,2009年,二三环之间
保利东郡,朝阳,石佛营,石佛营路,6号线,十里堡,764,2013年,四五环之间
向军北里,朝阳,东大桥,东三环北路,10号线,呼家楼,193,1993年,二三环之间
康堡财富堡座,朝阳,工体,工人体育场东路8号,6号线,东大桥,638,2002年,二三环之间
芍药居5号院,朝阳,芍药居,育慧南路,13号线,芍药居,745,1990年,三四环之间
三丰里,朝阳,朝外大街,三丰胡同,2号线,朝阳门,678,1978年,二三环之间
和平街西苑,朝阳,安贞,和平里西街,5号线,和平西桥,339,1998年,二三环之间
富力爱丁堡公馆,朝阳,团结湖,白家庄路1号,10号线,团结湖,496,2005年,二三环之间
慧谷时空,朝阳,望京,广顺北大街,15号线,望京,515,2001年,四五环之间
石佛营东里小区,朝阳,石佛营,姚家园路,6号线,十里堡,1261,1995年,四五环之间
吉祥里小区,朝阳,朝外大街,朝外北街,2号线,朝阳门,483,1996年,二三环之间
金蝉南里,朝阳,垡头,金蝉南路,7号线,欢乐谷景区,537,2015年,四五环之间
东平里,朝阳,首都机场,机场南路,机场线,T3航,楼站1451,1985年,五六环之间
京华豪园,朝阳,朝外大街,外交部南街10号,2号线,朝阳门,785,2000年,二三环之间
武圣东里,朝阳,潘家园,松榆北路,14号线(东),北工大西门,730,1962年,三四环之间
禧福汇,朝阳,劲松,南磨房路16号,14号线(东),北工大西门,936,2008年,三四环之间
观筑庭园,朝阳,十里河,吕营大街,亦庄线,小红门,1459,2004年,三四环之间
丝竹园,朝阳,健翔桥,安翔路,8号线,奥体中心,1261,2015年,四五环之间
万科蓝山,朝阳,国贸,南磨坊路3号,7号线,大郊亭,676,2009年,三四环之间
建业苑,朝阳,潘家园,松榆北路7号,10号线,潘家园,378,1990年,三四环之间
浩鸿园,朝阳,国展,西坝河南路3号,13号线,柳芳,124,2001年,二三环之间
东山墅,朝阳,朝阳公园,东四环北路7号,14号线(东),东风北桥,1049,2000年,四五环之间
甜水园东里,朝阳,甜水园,甜水园东街,14号线(东),金台路,483,1984年,三四环之间
佳兴园,朝阳,北苑,广来路,5号线,北苑路北,705,2003年,五六环之间
亮马嘉园,朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,1211,2006年,四五环之间
万科大都会,朝阳,CBD,东三环中路甲10号,10号线,国贸,352,2011年,三四环之间
北京城建N次方,朝阳,北苑,水岸南街16号,13号线,立水桥,907,2013年,五六环之间
吕营嘉园A区,朝阳,十里河,吕营大街,10号线,分钟寺,1526,2003年,三四环之间
安贞西里居住小区(安贞西里三区),朝阳,安贞,北辰路,8号线,安华桥,351,1988年,三四环之间
华盛乐章,朝阳,健翔桥,安翔北路1号,8号线,奥林匹克公园,1245,2000年,四五环之间
安慧里(四区),朝阳,亚运村,北四环东路,5号线,惠新西街北口,411,2015年,四五环之间
工人体育场东路小区,朝阳,朝外大街,工人体育场东路,6号线,东大桥,320,1988年,二三环之间
东大桥东里,朝阳,东大桥,朝阳门外大街,6号线,东大桥,282,1991年,二三环之间
上东8号,朝阳,酒仙桥,芳园南里9号,14号线(东),将台,410,2013年,四五环之间
人民日报社家属区,朝阳,红庙,金台北街,6号线,金台路,675,1975年,三四环之间
慈云寺小区,朝阳,红庙,大望路慈云寺46号,八通线,四惠,710,2003年,三四环之间
点击未来沁居,朝阳,花家地,金兴路16号,14号线(东),阜通,532,2003年,四五环之间
世茂宫园,朝阳,工体,东三环北路55号,10号线,呼家楼,381,2004年,二三环之间
怡禾国际温莎大道,朝阳,国贸,光华路,1号线,永安里,456,2003年,二三环之间
京师园,朝阳,奥林匹克公园,林萃路9号,8号线,林萃桥,570,2004年,四五环之间
泉发花园,朝阳,来广营,香江北路2号,15号线,马泉营,1226,2002年,五六环之间
御辰上院,朝阳,双井,黄木厂1号院,10号线,双井,769,2011年,三四环之间
青年路小区,朝阳,朝青板块,朝阳北路,6号线,青年路,575,1980年,四五环之间
西坝河西里,朝阳,西坝河,北三环东路,13号线,光熙门,562,1985年,二三环之间
双柳小区,朝阳,双桥,双桥路,八通线,双桥,378,2015年,五六环之间
秀水园小区,朝阳,团结湖,甜水园街,14号线(东),朝阳公园,551,1990年,三四环之间
亚奥金茂悦,朝阳,北苑,红军营东路15号,5号线,北苑路北,1572,2013年,五六环之间
左家庄东里,朝阳,左家庄,左家庄东街,13号线,柳芳,1130,1995年,二三环之间
劲松西社区(劲松八区),朝阳,劲松,劲松路,10号线,劲松,1093,2000年,二三环之间
富仁名苑,朝阳,安贞,建安东路,10号线,惠新西街南口,458,2003年,三四环之间
盛世嘉园,朝阳,国贸,建国路98号,14号线(东),大望路,443,2000年,三四环之间
安翔里,朝阳,健翔桥,安翔路,8号线,奥体中心,1150,1980年,四五环之间
北京Golf公寓,朝阳,朝阳公园,公园西路8号,14号线(东),枣营,752,2005年,三四环之间
碧海方舟,朝阳,亚运村,鼎成路6号,13号线,望京西,677,2003年,四五环之间
光辉南里小区,朝阳,大望路,建国路,14号线(东),大望路,289,2002年,三四环之间
观音景园,朝阳,高碑店,高碑店路,7号线,化工,1647,2006年,四五环之间
澳林春天(四期),朝阳,奥林匹克公园,林萃路,8号线,林萃桥,1044,2003年,四五环之间
都市心海岸雅园,朝阳,花家地,阜通西大街18号,14号线(东),阜通,495,2002年,四五环之间
风景线,朝阳,酒仙桥,将台西路,14号线(东),将台,638,1999年,四五环之间
东坝家园A区,朝阳,东坝,单店中路,14号线(东),将台,638,2001年,五六环之间
吉庆里小区,朝阳,朝外大街,朝外北街,2号线,朝阳门,578,1998年,二三环之间
芍药居甲2号院,朝阳,芍药居,芍药居甲2号,13号线,芍药居,520,1996年,三四环之间
都城心屿,朝阳,劲松,劲松路甲1号,10号线,劲松,864,2007年,二三环之间
银枫家园,朝阳,酒仙桥,酒仙桥北路7号,15号线,望京东,1623,2001年,四五环之间
三源里北小街小区,朝阳,三元桥,东三环北路,10号线,三元桥,676,2015年,二三环之间
保利香槟花园,朝阳,亚运村小营,小营路6号,15号线,关庄,750,2007年,四五环之间
大山子南里,朝阳,大山子,酒仙桥路,14号线(东),望京南,638,1996年,四五环之间
翌景嘉园,朝阳,潘家园,东三环南路21号,10号线,潘家园,356,2000年,二三环之间
首创爱这城(一期),朝阳,四惠,十里堡甲1号,1号线,四惠东,800,2007年,四五环之间
南湖佳苑,朝阳,望京,"河荫西路,近南湖北路",14号线(东),东湖渠,855,2000年,四五环之间
国展新座,朝阳,太阳宫,太阳宫南街7号,10号线,太阳宫,495,2003年,三四环之间
常营民族家园,朝阳,常营,常营北路,6号线,黄渠,713,2000年,五六环之间
顺源里小区,朝阳,三元桥,新源街,10号线,亮马桥,347,1983年,二三环之间
康静里小区,朝阳,东坝,平房路,10号线,亮马桥,347,1995年,五六环之间
芍药居2号院,朝阳,芍药居,北土城东路,10号线,芍药居,470,1982年,三四环之间
汇鸿家园,朝阳,管庄,常营南路50号,6号线,黄渠,886,2004年,五六环之间
首开畅心园,朝阳,常营,五里桥一街3号,6号线,草房,478,2010年,五六环之间
惠新北里社区,朝阳,惠新西街,安苑路,5号线,惠新西街北口,375,1995年,三四环之间
育慧里二区,朝阳,亚运村小营,小营东路,15号线,关庄,1010,1998年,四五环之间
世方豪庭,朝阳,三元桥,新源南路16号,10号线,亮马桥,984,2000年,二三环之间
和平街(十三区),朝阳,和平街,和平街,13号线,光熙门,665,1995年,二三环之间
臻园,朝阳,望京,来广营西路,14号线(东),来广营,269,2015年,五六环之间
慧苑华侨公寓,朝阳,亚运村,安立路,5号线,惠新西街北口,860,2015年,四五环之间
富华家园,朝阳,朝青板块,黄衫木店路186号,6号线,青年路,1059,2000年,四五环之间
阿曼寓所,朝阳,朝青板块,黄衫木店路188号,6号线,青年路,1045,2007年,四五环之间
连心园,朝阳,常营,常新南路,6号线,草房,839,2005年,五六环之间
乐澜宝邸,朝阳,劲松,南磨房路39号,10号线,劲松,290,2003年,三四环之间
福怡苑小区(北区),朝阳,定福庄,定福庄北街,6号线,褡裢坡,767,2000年,五六环之间
中海城风情苑(南区),朝阳,小红门,成寿寺路138号,10号线,成寿寺,550,2006年,三四环之间
京旺家园一区,朝阳,望京,金港南路,10号线,成寿寺,550,2000年,五六环之间
南十里居,朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,746,1996年,四五环之间
水碓子东里,朝阳,团结湖,甜水园街,14号线(东),金台路,267,2015年,三四环之间
官悦欣园(B区),朝阳,百子湾,官庄北街,7号线,化工,683,2014年,四五环之间
金隅悦和园,朝阳,东坝,平房路,7号线,化工,683,2011年,五六环之间
金隅景和园,朝阳,东坝,驹子房路,7号线,化工,683,2010年,五六环之间
西坝河南里小区,朝阳,西坝河,柳芳北街,13号线,柳芳,517,2001年,二三环之间
八里庄南里小区,朝阳,八里庄,朝阳北路138号,6号线,十里堡,480,1990年,四五环之间
瑞祥里东区,朝阳,管庄,瑞祥路,八通线,八里桥,613,2008年,五六环之间
幸福一村,朝阳,工体,工人体育场北路,10号线,团结湖,1178,1998年,二三环之间
天怡家园,朝阳,北苑,春华路,5号线,立水桥南,743,2005年,五六环之间
风格派,朝阳,亚运村,小营北路,15号线,大屯路东,780,2007年,四五环之间
芳馨园,朝阳,国展,西坝河南路6号,13号线,柳芳,264,2001年,二三环之间
双花园西里小区,朝阳,双井,广渠门北滨河路,7号线,广渠门外,492,1990年,二三环之间
惠新苑,朝阳,惠新西街,惠新西街9号,5号线,惠新西街北口,302,1999年,三四环之间
曙光西里,朝阳,西坝河,曙光西路,10号线,三元桥,713,2015年,三四环之间
天筑零点,朝阳,管庄,双桥东路,八通线,管庄,1015,2009年,五六环之间
汉华苑,朝阳,潘家园,松榆南路54号,10号线,潘家园,657,1998年,三四环之间
CBD总部公寓II(二期),朝阳,双井,光华北一街,7号线,广渠门外,803,2004年,二三环之间
优点社区,朝阳,常营,幺家店路,6号线,常营,1064,2006年,五六环之间
润枫德尚国际公寓,朝阳,亚运村,安立路60号,15号线,安立路,327,2004年,四五环之间
垡头西里,朝阳,垡头,金蝉南路,7号线,欢乐谷景区,1188,1983年,四五环之间
世纪嘉园,朝阳,小关,安苑路,10号线,安贞门,700,2000年,三四环之间
枣营南里,朝阳,朝阳公园,东三环北路,14号线(东),枣营,246,1987年,三四环之间
双花园南里(一区),朝阳,双井,广和里中街,7号线,广渠门外,764,1998年,二三环之间
潘家园南里,朝阳,潘家园,华威南路,10号线,潘家园,1016,1980年,二三环之间
海华堂,朝阳,十里堡,朝阳路,6号线,十里堡,459,2008年,四五环之间
双井北里小区,朝阳,双井,百子湾南二路,10号线,双井,517,1984年,三四环之间
尚东阁,朝阳,管庄,朝阳路,八通线,双桥,740,2007年,五六环之间
美伦堡,朝阳,北沙滩,科荟路51号,15号线,北沙滩,1017,2008年,四五环之间
银谷美泉,朝阳,朝青板块,姚家园路甲8号,6号线,青年路,1777,2008年,四五环之间
安华里社区(三区),朝阳,安贞,安定门外大街,5号线,和平西桥,1028,1986年,二三环之间
双花园南里(二区),朝阳,双井,光华北一街,7号线,广渠门外,658,1999年,二三环之间
远洋一方润园(西区),朝阳,管庄,塔营北街6号,八通线,管庄,1037,2010年,五六环之间
东风家园,朝阳,酒仙桥,酒仙桥路,14号线(东),东风北桥,778,2000年,四五环之间
江南山水,朝阳,小红门,红坊路6号,亦庄线,小红门,1163,2011年,四五环之间
管庄东里,朝阳,管庄,管庄路,6号线,常营,1020,1986年,五六环之间
风格雅园,朝阳,望京,南湖南路8号,14号线(东),望京,620,2001年,四五环之间
武圣西里,朝阳,劲松,松榆北路,10号线,潘家园,459,1962年,三四环之间
凯德锦绣,朝阳,八里庄,慈云寺北里207号,八通线,四惠,1034,2000年,四五环之间
新华联丽港,朝阳,酒仙桥,酒仙桥中路26号,14号线(东),将台,566,2008年,四五环之间
广顺园,朝阳,潘家园,紫芳路9号,14号线(东),方庄,346,2002年,二三环之间
远洋一方林语苑,朝阳,管庄,双桥东路7号,八通线,管庄,1301,2009年,五六环之间
驼房营南里,朝阳,酒仙桥,将台路,14号线(东),东风北桥,1521,1997年,四五环之间
绿丰家园,朝阳,豆各庄,绿丰家园东路,14号线(东),东风北桥,1521,2006年,五六环之间
金盏嘉园A区,朝阳,大山子,长店大街,14号线(东),东风北桥,1521,2011年,五六环之间
劲松五区,朝阳,劲松,劲松路,10号线,劲松,755,1983年,二三环之间
时代庄园,朝阳,北苑,红军营东路18号,13号线,北苑,253,2003年,五六环之间
紫南家园(北区),朝阳,欢乐谷,金蝉西路,7号线,南楼梓庄,356,2001年,四五环之间
新源里西小区,朝阳,三元桥,新东路,10号线,亮马桥,1191,1999年,二三环之间
凯景铭座大厦,朝阳,安贞,外馆东街51号,8号线,安德里北街,931,2004年,二三环之间
团结湖一二条北小区,朝阳,团结湖,团结湖北路,10号线,团结湖,282,1985年,三四环之间
远洋公馆,朝阳,三元桥,霄云路,10号线,三元桥,415,2000年,三四环之间
北沙滩1号院,朝阳,北沙滩,北沙滩路1号,15号线,北沙滩,497,2015年,四五环之间
兴隆家园(北区),朝阳,高碑店,高碑店北路,八通线,高碑店,820,1998年,四五环之间
蓝筹名座,朝阳,朝外大街,朝外北街,2号线,朝阳门,405,2003年,二三环之间
来北家园,朝阳,北苑,北院中街,5号线,北苑路北,1383,2012年,五六环之间
嘉多丽园(南区),朝阳,潘家园,东三环南路19号,14号线(东),十里河,214,2002年,二三环之间
白领家园,朝阳,高碑店,高碑店北路甲6号,八通线,四惠东,505,2004年,四五环之间
六里屯北里,朝阳,朝阳公园,朝阳公园南路,14号线(东),朝阳公园,278,1980年,三四环之间
农光南里,朝阳,劲松,松榆北路3号,10号线,潘家园,270,1980年,三四环之间
柏阳景园A区,朝阳,豆各庄,白鹿司路,7号线,焦化厂,2512,2000年,五六环之间
静安东里,朝阳,左家庄,静安东街,10号线,三元桥,587,2010年,二三环之间
汇欣公寓,朝阳,安慧桥,惠忠路,15号线,安立路,1028,2000年,四五环之间
延静里中街小区,朝阳,红庙,延静里中街,6号线,金台路,843,1992年,三四环之间
雅宝里社区,朝阳,朝外大街,朝外西路,6号线,朝阳门,828,1996年,二三环之间
日坛晶华,朝阳,建外大街,"朝外南街,近芳草地西街",6号线,东大桥,686,2001年,二三环之间
延静东里,朝阳,红庙,朝阳北路,6号线,金台路,725,1999年,三四环之间
